id_prova,atleta,nacionalidade,distancia,tempo_acumulado,tempo_parcial,percentual_tempo,velocidade_relativa
400m_livre_masculino_2025,JOHANSSON Victor,SWE,50,26.2,26.2,11.66,107.19
400m_livre_masculino_2025,JOHANSSON Victor,SWE,100,54.17,27.97,12.45,100.41
400m_livre_masculino_2025,JOHANSSON Victor,SWE,150,82.32,28.15,12.53,99.77
400m_livre_masculino_2025,JOHANSSON Victor,SWE,200,110.99,28.67,12.76,97.96
400m_livre_masculino_2025,JOHANSSON Victor,SWE,250,139.61,28.62,12.74,98.13
400m_livre_masculino_2025,JOHANSSON Victor,SWE,300,168.27,28.66,12.76,97.99
400m_livre_masculino_2025,JOHANSSON Victor,SWE,350,196.75,28.48,12.68,98.61
400m_livre_masculino_2025,JOHANSSON Victor,SWE,400,224.68,27.93,12.43,100.55
400m_livre_masculino_2025,KIM Woomin,KOR,50,25.05,25.05,11.25,111.08
400m_livre_masculino_2025,KIM Woomin,KOR,100,52.77,27.72,12.45,100.38
400m_livre_masculino_2025,KIM Woomin,KOR,150,80.64,27.87,12.52,99.84
400m_livre_masculino_2025,KIM Woomin,KOR,200,109.29,28.65,12.87,97.12
400m_livre_masculino_2025,KIM Woomin,KOR,250,137.83,28.54,12.82,97.49
400m_livre_masculino_2025,KIM Woomin,KOR,300,166.43,28.6,12.85,97.29
400m_livre_masculino_2025,KIM Woomin,KOR,350,194.98,28.55,12.83,97.46
400m_livre_masculino_2025,KIM Woomin,KOR,400,222.6,27.62,12.41,100.74
400m_livre_masculino_2025,KLEMET Oliver,GER,50,25.56,25.56,11.27,110.94
400m_livre_masculino_2025,KLEMET Oliver,GER,100,53.41,27.85,12.28,101.82
400m_livre_masculino_2025,KLEMET Oliver,GER,150,81.24,27.83,12.27,101.9
400m_livre_masculino_2025,KLEMET Oliver,GER,200,109.85,28.61,12.61,99.12
400m_livre_masculino_2025,KLEMET Oliver,GER,250,138.86,29.01,12.79,97.75
400m_livre_masculino_2025,KLEMET Oliver,GER,300,168.44,29.58,13.04,95.87
400m_livre_masculino_2025,KLEMET Oliver,GER,350,197.9,29.46,12.99,96.26
400m_livre_masculino_2025,KLEMET Oliver,GER,400,226.86,28.96,12.77,97.92
400m_livre_masculino_2025,MARTENS Lukas,GER,50,24.77,24.77,11.14,112.21
400m_livre_masculino_2025,MARTENS Lukas,GER,100,51.95,27.18,12.22,102.26
400m_livre_masculino_2025,MARTENS Lukas,GER,150,79.83,27.88,12.54,99.69
400m_livre_masculino_2025,MARTENS Lukas,GER,200,108.34,28.51,12.82,97.49
400m_livre_masculino_2025,MARTENS Lukas,GER,250,137.11,28.77,12.94,96.61
400m_livre_masculino_2025,MARTENS Lukas,GER,300,165.67,28.56,12.84,97.32
400m_livre_masculino_2025,MARTENS Lukas,GER,350,194.32,28.65,12.89,97.01
400m_livre_masculino_2025,MARTENS Lukas,GER,400,222.35,28.03,12.61,99.16
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,50,25.3,25.3,11.23,111.3
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,100,52.65,27.35,12.14,102.96
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,150,80.64,27.99,12.42,100.61
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,200,108.84,28.2,12.52,99.86
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,250,137.59,28.75,12.76,97.95
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,300,166.75,29.16,12.94,96.57
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,350,196.23,29.48,13.09,95.52
400m_livre_masculino_2025,MITSIN Petar Petrov,BUL,400,225.28,29.05,12.9,96.94
400m_livre_masculino_2025,SHORT Samuel,AUS,50,25.2,25.2,11.33,110.3
400m_livre_masculino_2025,SHORT Samuel,AUS,100,52.46,27.26,12.26,101.97
400m_livre_masculino_2025,SHORT Samuel,AUS,150,80.2,27.74,12.47,100.2
400m_livre_masculino_2025,SHORT Samuel,AUS,200,108.53,28.33,12.74,98.12
400m_livre_masculino_2025,SHORT Samuel,AUS,250,136.94,28.41,12.78,97.84
400m_livre_masculino_2025,SHORT Samuel,AUS,300,165.43,28.49,12.81,97.56
400m_livre_masculino_2025,SHORT Samuel,AUS,350,194.26,28.83,12.96,96.41
400m_livre_masculino_2025,SHORT Samuel,AUS,400,222.37,28.11,12.64,98.88
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,50,25.46,25.46,11.32,110.38
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,100,53.78,28.32,12.6,99.23
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,150,82.25,28.47,12.66,98.71
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,200,111.28,29.03,12.91,96.81
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,250,140.04,28.76,12.79,97.71
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,300,169.37,29.33,13.05,95.81
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,350,197.55,28.18,12.53,99.72
400m_livre_masculino_2025,ZHANG Zhanshuo,CHN,400,224.82,27.27,12.13,103.05
400m_livre_masculino_2025,de TULLIO Marco,ITA,50,25.68,25.68,11.42,109.48
400m_livre_masculino_2025,de TULLIO Marco,ITA,100,53.49,27.81,12.36,101.1
400m_livre_masculino_2025,de TULLIO Marco,ITA,150,81.84,28.35,12.6,99.17
400m_livre_masculino_2025,de TULLIO Marco,ITA,200,110.7,28.86,12.83,97.42
400m_livre_masculino_2025,de TULLIO Marco,ITA,250,139.3,28.6,12.72,98.3
400m_livre_masculino_2025,de TULLIO Marco,ITA,300,168.09,28.79,12.8,97.66
400m_livre_masculino_2025,de TULLIO Marco,ITA,350,196.93,28.84,12.82,97.49
400m_livre_masculino_2025,de TULLIO Marco,ITA,400,224.92,27.99,12.44,100.45
